"# Per-item generation lengths re-tokenized from the committed mmlu_dual dumps (think-off MMLU, 228 items = 4/subject x 57). gen_toks: model-own-tokenizer count of the dumped text (post-strip = full generation for think-off). ordering_ok: 1 iff this record's arms share an identical 228-long gold sequence, the precondition for pairing rows across arms by idx. correct_*: pred==gold under the relaxed / strict extractor. Producer: analysis/residency/mmlu_dual_lengths.py"
record,model_family,arm,idx,gold,correct_relaxed,correct_strict,gen_toks,ordering_ok
gemma4_ce_d12_dual,gemma4,R16,0,B,1,0,519,1
gemma4_ce_d12_dual,gemma4,R16,1,C,0,0,442,1
gemma4_ce_d12_dual,gemma4,R16,2,D,1,0,761,1
gemma4_ce_d12_dual,gemma4,R16,3,B,1,0,597,1
gemma4_ce_d12_dual,gemma4,R16,4,A,1,1,540,1
gemma4_ce_d12_dual,gemma4,R16,5,B,1,1,459,1
gemma4_ce_d12_dual,gemma4,R16,6,A,1,1,237,1
gemma4_ce_d12_dual,gemma4,R16,7,C,1,1,542,1
gemma4_ce_d12_dual,gemma4,R16,8,A,1,1,377,1
gemma4_ce_d12_dual,gemma4,R16,9,D,1,1,218,1
gemma4_ce_d12_dual,gemma4,R16,10,C,1,1,261,1
gemma4_ce_d12_dual,gemma4,R16,11,C,1,1,340,1
gemma4_ce_d12_dual,gemma4,R16,12,C,1,0,510,1
gemma4_ce_d12_dual,gemma4,R16,13,C,1,0,348,1
gemma4_ce_d12_dual,gemma4,R16,14,A,1,0,275,1
gemma4_ce_d12_dual,gemma4,R16,15,B,1,0,393,1
gemma4_ce_d12_dual,gemma4,R16,16,D,1,1,268,1
gemma4_ce_d12_dual,gemma4,R16,17,C,1,0,348,1
gemma4_ce_d12_dual,gemma4,R16,18,D,1,0,386,1
gemma4_ce_d12_dual,gemma4,R16,19,B,1,1,1013,1
gemma4_ce_d12_dual,gemma4,R16,20,A,1,1,411,1
gemma4_ce_d12_dual,gemma4,R16,21,C,1,0,759,1
gemma4_ce_d12_dual,gemma4,R16,22,B,1,0,844,1
gemma4_ce_d12_dual,gemma4,R16,23,A,1,0,449,1
gemma4_ce_d12_dual,gemma4,R16,24,B,1,0,389,1
gemma4_ce_d12_dual,gemma4,R16,25,D,1,1,479,1
gemma4_ce_d12_dual,gemma4,R16,26,D,1,1,466,1
gemma4_ce_d12_dual,gemma4,R16,27,A,1,1,394,1
gemma4_ce_d12_dual,gemma4,R16,28,B,1,0,327,1
gemma4_ce_d12_dual,gemma4,R16,29,C,1,0,1030,1
gemma4_ce_d12_dual,gemma4,R16,30,C,1,0,369,1
gemma4_ce_d12_dual,gemma4,R16,31,A,1,0,250,1
gemma4_ce_d12_dual,gemma4,R16,32,C,1,0,370,1
gemma4_ce_d12_dual,gemma4,R16,33,A,1,0,340,1
gemma4_ce_d12_dual,gemma4,R16,34,C,1,0,491,1
gemma4_ce_d12_dual,gemma4,R16,35,A,1,0,192,1
gemma4_ce_d12_dual,gemma4,R16,36,A,1,0,173,1
gemma4_ce_d12_dual,gemma4,R16,37,B,1,1,122,1
gemma4_ce_d12_dual,gemma4,R16,38,B,1,1,338,1
gemma4_ce_d12_dual,gemma4,R16,39,B,1,0,331,1
gemma4_ce_d12_dual,gemma4,R16,40,D,0,0,250,1
gemma4_ce_d12_dual,gemma4,R16,41,D,1,1,375,1
gemma4_ce_d12_dual,gemma4,R16,42,A,1,0,243,1
gemma4_ce_d12_dual,gemma4,R16,43,A,1,0,779,1
gemma4_ce_d12_dual,gemma4,R16,44,C,1,0,206,1
gemma4_ce_d12_dual,gemma4,R16,45,C,1,1,217,1
gemma4_ce_d12_dual,gemma4,R16,46,D,1,0,222,1
gemma4_ce_d12_dual,gemma4,R16,47,B,1,0,328,1
gemma4_ce_d12_dual,gemma4,R16,48,A,1,1,238,1
gemma4_ce_d12_dual,gemma4,R16,49,A,1,1,379,1
gemma4_ce_d12_dual,gemma4,R16,50,C,1,0,286,1
gemma4_ce_d12_dual,gemma4,R16,51,A,1,1,187,1
gemma4_ce_d12_dual,gemma4,R16,52,A,1,1,311,1
gemma4_ce_d12_dual,gemma4,R16,53,A,0,0,680,1
gemma4_ce_d12_dual,gemma4,R16,54,C,1,1,375,1
gemma4_ce_d12_dual,gemma4,R16,55,A,1,0,598,1
gemma4_ce_d12_dual,gemma4,R16,56,C,1,0,281,1
gemma4_ce_d12_dual,gemma4,R16,57,A,1,0,245,1
gemma4_ce_d12_dual,gemma4,R16,58,A,1,0,338,1
gemma4_ce_d12_dual,gemma4,R16,59,C,1,1,387,1
gemma4_ce_d12_dual,gemma4,R16,60,D,1,1,309,1
gemma4_ce_d12_dual,gemma4,R16,61,C,1,1,240,1
gemma4_ce_d12_dual,gemma4,R16,62,A,1,1,670,1
gemma4_ce_d12_dual,gemma4,R16,63,B,1,1,424,1
gemma4_ce_d12_dual,gemma4,R16,64,B,1,1,151,1
gemma4_ce_d12_dual,gemma4,R16,65,A,1,1,352,1
gemma4_ce_d12_dual,gemma4,R16,66,D,1,1,375,1
gemma4_ce_d12_dual,gemma4,R16,67,C,1,0,515,1
gemma4_ce_d12_dual,gemma4,R16,68,B,1,0,1096,1
gemma4_ce_d12_dual,gemma4,R16,69,C,1,0,680,1
gemma4_ce_d12_dual,gemma4,R16,70,D,1,0,410,1
gemma4_ce_d12_dual,gemma4,R16,71,D,1,1,311,1
gemma4_ce_d12_dual,gemma4,R16,72,D,1,0,824,1
gemma4_ce_d12_dual,gemma4,R16,73,C,1,0,237,1
gemma4_ce_d12_dual,gemma4,R16,74,B,1,0,222,1
gemma4_ce_d12_dual,gemma4,R16,75,D,1,1,236,1
gemma4_ce_d12_dual,gemma4,R16,76,C,0,0,764,1
gemma4_ce_d12_dual,gemma4,R16,77,B,1,0,326,1
gemma4_ce_d12_dual,gemma4,R16,78,D,1,0,247,1
gemma4_ce_d12_dual,gemma4,R16,79,D,1,0,302,1
gemma4_ce_d12_dual,gemma4,R16,80,A,1,1,264,1
gemma4_ce_d12_dual,gemma4,R16,81,D,1,0,281,1
gemma4_ce_d12_dual,gemma4,R16,82,A,1,1,256,1
gemma4_ce_d12_dual,gemma4,R16,83,B,1,1,300,1
gemma4_ce_d12_dual,gemma4,R16,84,B,1,1,437,1
gemma4_ce_d12_dual,gemma4,R16,85,D,1,0,230,1
gemma4_ce_d12_dual,gemma4,R16,86,D,1,0,227,1
gemma4_ce_d12_dual,gemma4,R16,87,D,1,0,553,1
gemma4_ce_d12_dual,gemma4,R16,88,C,1,1,300,1
