"# Per-item WritingBench response lengths, re-tokenized with each model's own tokenizer (rescued responses predate native gen_toks capture). subset: A = base 50 queries, B/C = the _sB/_sC subset files (offsets 50/100). index = WritingBench query index, the join key to scores/*.jsonl. Producer: analysis/writingbench/wb_lengths.py"
record,arm,subset,index,gen_toks
gemma4_armA,R16,A,2,1352
gemma4_armA,R16,A,3,1374
gemma4_armA,R16,A,4,1313
gemma4_armA,R16,A,5,1187
gemma4_armA,R16,A,6,1289
gemma4_armA,R16,A,7,530
gemma4_armA,R16,A,8,346
gemma4_armA,R16,A,10,778
gemma4_armA,R16,A,11,978
gemma4_armA,R16,A,12,1194
gemma4_armA,R16,A,13,1100
gemma4_armA,R16,A,14,1258
gemma4_armA,R16,A,15,1130
gemma4_armA,R16,A,16,2388
gemma4_armA,R16,A,17,968
gemma4_armA,R16,A,18,1009
gemma4_armA,R16,A,19,2638
gemma4_armA,R16,A,20,902
gemma4_armA,R16,A,22,1524
gemma4_armA,R16,A,23,1826
gemma4_armA,R16,A,24,1933
gemma4_armA,R16,A,26,1164
gemma4_armA,R16,A,27,2156
gemma4_armA,R16,A,29,1548
gemma4_armA,R16,A,30,980
gemma4_armA,R16,A,31,1662
gemma4_armA,R16,A,33,1322
gemma4_armA,R16,A,34,800
gemma4_armA,R16,A,36,2311
gemma4_armA,R16,A,38,1645
gemma4_armA,R16,A,39,1292
gemma4_armA,R16,A,40,1603
gemma4_armA,R16,A,41,1659
gemma4_armA,R16,A,43,1645
gemma4_armA,R16,A,46,1372
gemma4_armA,R16,A,47,1652
gemma4_armA,R16,A,48,1531
gemma4_armA,R16,A,49,1682
gemma4_armA,R16,A,51,1242
gemma4_armA,R16,A,54,1709
gemma4_armA,R16,A,55,1312
gemma4_armA,R16,A,56,1210
gemma4_armA,R16,A,57,1156
gemma4_armA,R16,A,58,3183
gemma4_armA,R16,A,60,1791
gemma4_armA,R16,A,61,1001
gemma4_armA,R16,A,62,2113
gemma4_armA,R16,A,63,1094
gemma4_armA,R16,A,64,1078
gemma4_armA,R16,A,65,1769
gemma4_armA,R16,B,66,1384
gemma4_armA,R16,B,69,1577
gemma4_armA,R16,B,70,1189
gemma4_armA,R16,B,71,3252
gemma4_armA,R16,B,72,1233
gemma4_armA,R16,B,77,1515
gemma4_armA,R16,B,81,1550
gemma4_armA,R16,B,82,1627
gemma4_armA,R16,B,88,1635
gemma4_armA,R16,B,89,2613
gemma4_armA,R16,B,91,1988
gemma4_armA,R16,B,92,1345
gemma4_armA,R16,B,94,1170
gemma4_armA,R16,B,95,2341
gemma4_armA,R16,B,99,1592
gemma4_armA,R16,B,102,1451
gemma4_armA,R16,B,103,1781
gemma4_armA,R16,B,104,2728
gemma4_armA,R16,B,106,1147
gemma4_armA,R16,B,108,3646
gemma4_armA,R16,B,111,1097
gemma4_armA,R16,B,113,1954
gemma4_armA,R16,B,114,1318
gemma4_armA,R16,B,119,989
gemma4_armA,R16,B,120,1120
gemma4_armA,R16,B,123,1134
gemma4_armA,R16,B,125,1811
gemma4_armA,R16,B,127,1468
gemma4_armA,R16,B,128,1376
gemma4_armA,R16,B,130,1170
gemma4_armA,R16,B,132,2998
gemma4_armA,R16,B,134,1216
gemma4_armA,R16,B,135,1220
gemma4_armA,R16,B,136,905
gemma4_armA,R16,B,138,1295
gemma4_armA,R16,B,139,2226
gemma4_armA,R16,B,140,1110
gemma4_armA,R16,B,141,1156
gemma4_armA,R16,B,142,1270
gemma4_armA,R16,B,144,1144
gemma4_armA,R16,B,145,1197
gemma4_armA,R16,B,146,924
gemma4_armA,R16,B,147,1306
gemma4_armA,R16,B,148,1324
gemma4_armA,R16,B,151,1828
gemma4_armA,R16,B,154,1091
gemma4_armA,R16,B,156,1389
gemma4_armA,R16,B,157,1241
gemma4_armA,R16,B,159,1590
gemma4_armA,R16,B,160,1429
gemma4_armA,R16,C,162,1325
gemma4_armA,R16,C,163,956
gemma4_armA,R16,C,164,1241
gemma4_armA,R16,C,165,2231
gemma4_armA,R16,C,166,1350
gemma4_armA,R16,C,167,1983
gemma4_armA,R16,C,168,1234
