# OLMoE-1B-7B-0125 Stage-2b escalation bake-off. All arms: base-router init (NOT from a checkpoint),
# winner LR = 3e-4, SAME 1B corpus + seed-0 data order, 0.25B training tokens, eval every 50M AT R=8
# (the serving condition). Trainable set differs per arm (below). bf16 compute + fp32 master, AdamW
# betas(0.9,0.95), grad-clip 1.0, MB=16, grad-checkpointing. Loss = LM CE (resident-masked softmax) +
# 0.01*aux + 0.001*z on the masked distribution (arm D replaces LM CE with 0.5*data_CE+0.5*soft_CE).
#
# METRIC: BPB (bits-per-byte, LOWER better) on the Stage-1 audited slice, divisor D=3.1089 (byte-derived).
#   base BPB (residency OFF) = 0.6727 ; impose BPB (R=8, no train) = 2.7507 ; impose gap = +2.0780.
#   RECOVERY = 1 - (adapted-base)/(impose-base) ; HIGHER better ; 1.0 = fully closes the residency gap.
#
# EVAL-NOISE SIGMA (calibration, base model re-eval on 3 DISJOINT 256-pack subsamples of the audited slice):
#   free-routing: [0.6771, 0.6665, 0.6717] mean 0.6718 std 0.0043 BPB
#   R=8 (serving): [2.7505, 2.7363, 2.7451] mean 2.7440 std 0.0059 BPB
#   => 1-sigma subsample noise ~= 0.004-0.006 BPB (~0.2-0.3 recovery pts). Inter-arm BPB gaps below
#      ~0.012 (2-sigma) are NOISE, not real. (Context: the sweep 3e-4-vs-1e-4 gap of 0.0072 was ~1.2-sigma.)
#
# TELEMETRY per eval (all at R=8): swap_rate = mean experts newly-resident per token per layer
#   (<=1 by the residency constraint; steady-state, cold-fill t=0 excluded); usage_entropy = expert-
#   firing-count entropy normalized by ln(64), range [0,1], 1.0 = uniform expert use, LOW = collapse.
# GUARD: an arm is disqualified if BPB improves while usage_entropy collapses (gaming the swap budget);
#   run killed on NaN / BPB>impose / usage collapse.
#
# ARM DEFINITIONS:
#   A = LR-sweep winner's own 0.25B curve (lr 3e-4, router-only) — reference, NO rerun.
#   B = anneal R 64->8 one-expert-at-a-time over first 150M (56 rungs ~2.7M tok each), hold R=8 after.
#   D = self-distill: teacher = frozen base-router FREE-routing no-grad; loss 0.5 data_CE + 0.5 soft_CE (temp 1).
#   E = router + per-expert LoRA (r=32, alpha=64) on gate_up/down projections, bf16, B-init zero.
#   C = router + learnable RMSNorm gains (OLMoE RMSNorm.weight is learnable -> arm RUNS).
#   F = full-FT ceiling (8-bit Adam, LR 1e-5) — OPTIONAL, only if GPU idle after C.
#
# --- OPTIONAL-IDLE rank screens (per 0074): LoRA rank sweep on the E-recipe, 50M screening, eval 10M. Tests adapter minimality vs E(r32). ---
# --- OPTIONAL-IDLE arm H (per 0072/0074): E-recipe (router+LoRA r32) + zone-confined anneal R 24->8 over first 50M, hold R=8 for 200M. Tests if expert-representation benefits from a curriculum where routing (B) didn't. ---
arm,tok_M,adapted_BPB,recovery,swap_rate,usage_entropy,train_R,note
A,50,1.3468,0.6758,,,8,sweep-winner reference (from olmoe_adapt_sweep.csv lr=3e-4)
A,100,1.3067,0.6951,,,8,sweep-winner reference
A,150,1.2901,0.7031,,,8,sweep-winner reference
A,200,1.2824,0.7068,,,8,sweep-winner reference
A,250,1.2825,0.7068,,,8,sweep-winner reference
B,50,2.7264,0.0117,0.9992,0.9878,46,anneal ramp — R=8 eval ~ impose while trainR>>8 (router not yet adapted to R=8)
B,100,2.6831,0.0325,0.9994,0.9878,27,anneal ramp — still ~impose at R=8 eval
B,150,1.4830,0.6100,0.9999,0.9916,8,anneal reaches R=8 — BPB drops sharply
B,200,1.2829,0.7058,0.9999,0.9915,8,R=8 hold
B,250,1.2788,0.7083,0.9999,0.9918,8,"FINAL — vs arm A 1.2825/70.7%: +0.0037 BPB = <1sigma = NOISE. Anneal wastes first 150M (R=8 eval flat at impose until trainR hits 8); no real gain, less token-efficient. Telemetry clean (swap~1.0 ceiling, ent~0.99 no collapse)."
E,50,0.8642,0.9081,0.9997,0.9975,8,router+LoRA r32 a64 all-expert up/down (234.9M trainable) — already 90.8% at 50M
E,100,0.8586,0.9108,0.9997,0.9972,8,
E,150,0.8549,0.9126,0.9997,0.9975,8,
E,200,0.8513,0.9143,0.9997,0.9974,8,
E,250,0.8507,0.9143,0.9997,0.9977,8,"FINAL — 91.4% recovery vs router-only 70.7% (arm A). +20.7 pts, 0.432 BPB (~70sigma, NOT noise). LoRA on experts closes nearly the whole residency gap. Telemetry clean (swap~1.0, ent~0.998 no collapse). NOTE ckpt 474MB (234.9M LoRA params)."
C,50,0.8791,0.9007,0.9998,0.9978,8,"router + RMSNorm gains (133K extra, 2.23M total trainable)"
C,100,0.8627,0.9086,0.9998,0.9982,8,
C,150,0.8560,0.9118,0.9998,0.9984,8,
C,200,0.8526,0.9134,0.9998,0.9987,8,
C,250,0.8505,0.9144,0.9998,0.9988,8,"FINAL — 91.4% recovery, STATISTICALLY IDENTICAL to arm E LoRA (0.8507/91.4%); delta 0.0002 BPB << sigma 0.006. Norm-gain rescaling (133K params) fully matches LoRA (234.9M, 1766x more). => residency gap is a CALIBRATION problem, not expert-capacity. Cheap-surface recipe. Telemetry clean (swap~1.0, ent~0.999)."
CE,10,0.8584,0.9106,0.9997,0.9974,8,router+norms+LoRA (237M trainable) — screen grid start
CE,20,0.8413,0.9189,0.9997,0.9982,8,
CE,30,0.8337,0.9225,0.9997,0.9980,8,
CE,40,0.8288,0.9249,0.9997,0.9982,8,
CE,50,0.8269,0.9258,0.9997,0.9983,8,SCREEN pt: beats E@50M(0.8642) by 6.2sigma + single-arm finals by 3.9sigma -> ADDITIVE
CE,100,0.8209,0.9287,0.9997,0.9986,8,
CE,150,0.8178,0.9302,0.9997,0.9985,8,
CE,200,0.8158,0.9312,0.9997,0.9986,8,
CE,250,0.8149,0.9316,0.9997,0.9988,8,"FINAL — 93.2% recovery. Stacked norms+LoRA beats either single mechanism (91.4%) by +1.8pts / 0.0356 BPB (~6sigma). Mechanisms ADD. 3-term: routing 70.7 + calibration 91.4 + capacity-on-top 93.2. Telemetry clean. ckpt 474MB (LoRA) gitignored; full resumable ckpt_bake_CE.pt (2.85GB, F-prime warm-start) local."
D,50,1.3107,0.6929,0.9999,0.9907,8,router-only + self-distillation (0.5 dataCE + 0.5 softCE from base free-routing teacher)
D,100,1.2986,0.6987,0.9999,0.9896,8,
D,150,1.2929,0.7015,0.9999,0.9896,8,
D,200,1.2875,0.7041,0.9999,0.9891,8,
D,250,1.2919,0.7020,0.9999,0.9903,8,"FINAL — 70.2%, ~= arm A router-only 70.7% (delta 0.0094 = ~1.6sigma, marginally worse/noise). Distillation gives NO benefit on router-only => the ~70% basin is CAPACITY-limited, not signal-limited. Confirms the plateau interpretation."
G,50,0.8358,0.9215,0.9998,0.9984,8,"router+norms+LoRA + self-distillation (0.5 dataCE + 0.5 softCE from base free-routing teacher); 150M cap (0.15B fallback per 0071, 250M projected 13h)"
