"# mmlu_dual dumps re-scored with lm_eval's own flan-CoT get-answer filter ("(?<=answer is )(.*)(?=.)" + take_first), the metric behind the mmlu_flan_cot_fewshot grid rows. Use THIS column to check a regenerated cell against its grid row; the harness's own acc,strict-flan is a stricter regex (rejects "the correct answer is") and is not era-comparable. Re-analysis of committed dumps. Producer: analysis/residency/mmlu_flan_rescore.py"
record,arm,n,acc_flan_getanswer,unextracted
gemma4_ce_d12_dual2,R16,228,0.565789,87
gemma4_ce_d12_dual2,R8,228,0.622807,74
gemma4_ce_d12_dual2,free,228,0.548246,89
gemma4_ce_d12_dual,R16,228,0.543860,96
gemma4_ce_d12_dual,R8,228,0.583333,91
gemma4_ce_d12_dual,free,228,0.526316,102
gemma4_ce_d8_dual,R16,228,0.587719,86
gemma4_ce_d8_dual,R8,228,0.596491,85
gemma4_ce_d8_dual,free,228,0.605263,86
gemma4_think_on,R16,228,0.815789,34
gemma4_think_on,R8,228,0.719298,49
gemma4_think_on,free,228,0.868421,22
gptoss_20b,R4,228,0.061404,211
gptoss_20b,free,228,0.052632,214
gptoss_20b_high,R4,228,0.061404,212
gptoss_20b_high,free,228,0.057018,210
gptoss_20b_low,R4,228,0.074561,210
gptoss_20b_low,free,228,0.109649,200
lfm25_instruct,R4,228,0.043860,212
lfm25_instruct,free,228,0.013158,221
olmoe_instruct,R8,228,0.377193,47
olmoe_instruct,free,228,0.530702,15
pair_base,R16,228,0.728070,58
pair_base,R8,228,0.714912,54
pair_base,free,228,0.662281,68
pair_d5,R16,228,0.578947,85
pair_d5,R8,228,0.587719,88
pair_d5,free,228,0.570175,91
qwen35_ce_d12r2_b_dual,R8,228,0.763158,42
qwen35_ce_d12r2_b_dual,free,228,0.828947,27
qwen35_ce_d12r2_dual,R16,228,0.807018,33
qwen35_ce_d12r2_dual,R8,228,0.763158,42
qwen35_ce_d12r2_dual,free,228,0.828947,27
qwen35_ce_d12r3_dual,R16,228,0.767544,41
qwen35_ce_d12r3_dual,R8,228,0.675439,60
qwen35_ce_d12r3_dual,free,228,0.833333,29
qwen35_ce_d12r4_dual,R16,228,0.789474,38
qwen35_ce_d12r4_dual,R8,228,0.719298,48
qwen35_ce_d12r4_dual,free,228,0.763158,40
qwen35_ce_d12r5_b_dual,R8,228,0.771930,34
qwen35_ce_d12r5_b_dual,free,228,0.798246,34
qwen35_ce_d12r5_dual,R16,228,0.824561,24
qwen35_ce_d12r5_dual,R8,228,0.771930,34
qwen35_ce_d12r5_dual,free,228,0.798246,34
qwen35_ce_d12r_dual,R16,228,0.859649,20
qwen35_ce_d12r_dual,R8,228,0.789474,36
qwen35_ce_d12r_dual,free,228,0.820175,24
qwen35_halfgrain_ce_diag,free,228,0.688596,58
qwen35_instruct,R32,228,0.767544,42
qwen35_instruct,R8,228,0.666667,61
qwen35_instruct,free,228,0.745614,47
qwen35_val_base_dual,R16,228,0.837719,22
qwen35_val_base_dual,R8,228,0.780702,39
qwen35_val_base_dual,free,228,0.833333,26
scr_d10_dual,R8,228,0.649123,72
scr_d10_dual,free,228,0.574561,86
scr_d11_dual,R8,228,0.653509,70
scr_d11_dual,free,228,0.592105,79
scr_d12_dual,R8,228,0.561404,88
scr_d12_dual,free,228,0.530702,101
scr_d7_dual,R8,228,0.565789,91
scr_d7_dual,free,228,0.535088,98
scr_d8_dual,R8,228,0.592105,85
scr_d8_dual,free,228,0.600877,86
scr_d9_dual,R8,228,0.596491,84
scr_d9_dual,free,228,0.587719,85
